instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿vin.in.0001,﻿church,﻿St. Frances Xavier,English,,,,,,﻿Vincennes,,﻿IN,,38.679024,-87.53415,,,,﻿sim_g_bruté_901,﻿Right Rev.,﻿Simon G. Bruté,﻿D. D.,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0090,﻿church,not recorded,English,,﻿Black Oak Ridge,,﻿Davies County,,,,﻿IN,,38.66456,-87.046859,,,,﻿sim_lalumiere_901,﻿Rev.,﻿Simon Lalumiere,,,,,,,,1835,﻿https://archives.nd.edu/aidan/aidan501.htm ; https://www.facebook.com/daviesscountyhistory/posts/black-oak-ridge-catholic-parish-was-first-organized-in-1818-and-stood-about-one-/10150587139166087/ ; https://indianacatholic.mwweb.org/?p=6438 ;,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9005,﻿church,not recorded,English,,﻿Duchee River,,,,,,﻿IN,,38.66456,-87.046859,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0081,﻿church,not recorded,English,,,,,,﻿Logansport,,﻿IN,,40.75247502,-86.37526621,,﻿[visited] occasionally by the Rev. S. T. Badin,﻿occasionally,﻿s_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0001,﻿church,not recorded,English,﻿church not yet dedicated,,,,,﻿Fort Wayne,,﻿IN,,40.75247502,-86.37526621,,﻿[visited] occasionally by the Rev. S. T. Badin,﻿occasionally,﻿s_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9031,﻿church,not recorded,English,,﻿Racoon Creek,,,,,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0055,﻿church,not recorded,English,,,,,,﻿Independence,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9032,﻿church,not recorded,English,,,,,,﻿Mossissinoway,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0093,﻿church,not recorded,English,,,,,,﻿Mount Pleasant,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Mount_Pleasant_Township,_Delaware_County,_Indiana",,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9000,﻿convent,﻿St. Clare's Convent,English,,,,,,﻿Vincennes,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,,,,﻿manage[d] and govern[ed] [by] Sisters of Charity,,1835,,"﻿English, French, Arithmetic, Geography, History, Rhetoric, Plain Sewing, Marking and Ornamental Needle-work, Drawing, Painting in water colors, Fancy work and Embroidery, Spelling, Reading, Writing, Grammar and Syntax, music (piano forte and guitar)",﻿,﻿,﻿Vincennes,Vincennes
